Date,Adj close,Close,High,Low,Open,Volume,Rsi,Macd,Macd_signal,Macd_hist,Bb_lower,Bb_middle,Bb_upper,Nextclose,Nextcloseup,RSI,MACD,MACD_signal,MACD_hist,BB_lower,BB_middle,BB_upper,ATR,NextClose,NextCloseUp
2016-01-06,1091.9000244140625,1091.9000244140625,1093.699951171875,1081.5999755859375,1081.5999755859375,52,57.51466891594135,-1.7483750960482212,3.1677644153911837,-4.916139511439405,1053.6734953315831,1072.1800048828127,1090.6865144340422,1107.699951171875,1,59.02633210514597,2.303429200110031,1.4831032716848918,0.8203259284251393,1053.673495331591,1072.1800048828127,1090.6865144340343,13.757445497802063,1107.699951171875,1
2016-01-07,1107.699951171875,1107.699951171875,1109.4000244140625,1091.5999755859375,1091.5999755859375,122,62.4619725596489,1.0331298314424657,4.759415474305497,-3.726285642863031,1049.374749895748,1073.75,1098.125250104252,1097.800048828125,0,64.14799392598731,4.789060418638201,3.174987592170449,1.6140728264677517,1049.374749895754,1073.75,1098.125250104246,14.046202878539415,1097.800048828125,0
2016-01-08,1097.800048828125,1097.800048828125,1111.0999755859375,1093.0,1111.0999755859375,98,57.91151560505439,2.410862224915718,4.9097182942229995,-2.4988560693072817,1048.1422166826978,1074.7600036621095,1101.3777906415212,1096.5,0,59.15821147053062,5.892180298397989,3.4224859775441896,2.469694320853799,1048.1422166827033,1074.7600036621095,1101.3777906415157,14.335758071924992,1096.5,0
2016-01-11,1096.5,1096.5,1107.9000244140625,1096.5,1105.699951171875,43,57.32095271620654,3.3591003790982086,4.686365158724392,-1.3272647796261836,1047.6163482823767,1075.9300048828127,1104.2436614832486,1085.5999755859375,0,58.51452313490775,6.585593057807728,3.292718989563143,3.292874068244585,1047.616348282382,1075.9300048828127,1104.2436614832434,14.1260628106491,1085.5999755859375,0
2016-01-12,1085.5999755859375,1085.5999755859375,1098.5,1084.0,1093.800048828125,87,52.48798787652802,3.1942240465912164,3.61719106097392,-0.42296701438270357,1047.7231747251606,1076.3650024414064,1105.0068301576523,1087.5,1,53.27999795580285,6.1842980521457775,2.313139187120954,3.8711588650248236,1047.7231747251656,1076.3650024414064,1105.0068301576473,14.152772609888451,1087.5,1
2016-01-13,1087.5,1087.5,1093.9000244140625,1081.5,1081.5,50,53.228274700972115,3.180214918294496,2.8825455461417597,0.29766937215273637,1049.0034609206284,1077.505004882813,1106.0065488449975,1073.9000244140625,0,54.051612302664545,5.950985701228774,1.6638614689631597,4.287124232265614,1049.0034609206334,1077.505004882813,1106.0065488449925,14.027576310186598,1073.9000244140625,0
2016-01-14,1073.9000244140625,1073.9000244140625,1091.5,1073.699951171875,1091.5,59,47.52080028485982,2.0480990027360804,1.400343704466675,0.6477552982694053,1050.3260689464566,1078.0550048828127,1105.7839408191687,1091.5,1,47.94744359031645,4.615475286090941,0.2626808430602612,4.35279444303068,1050.3260689464616,1078.0550048828127,1105.7839408191637,14.297038632896484,1091.5,1
2016-01-15,1091.5,1091.5,1095.800048828125,1081.800048828125,1085.0,44,54.343589690659776,2.5417600956614024,1.5152038379135977,1.0265562577478047,1050.3569326341358,1078.7300048828129,1107.10307713149,1089.9000244140625,0,55.02590584079698,4.920523864720735,0.4541835373520442,4.466340327368691,1050.3569326341408,1078.7300048828129,1107.103077131485,14.840109045836915,1089.9000244140625,0
2016-01-19,1089.9000244140625,1089.9000244140625,1094.4000244140625,1084.9000244140625,1089.800048828125,17,53.66059671926437,2.7719323001217617,1.3963008338991656,1.3756314662225961,1055.170735936377,1080.6850036621097,1106.1992713878424,1107.0999755859375,1,54.30295906312641,4.975814312749208,0.4075791883044131,4.5682351244447945,1055.1707359363827,1080.6850036621097,1106.1992713878367,14.458672685419993,1107.0999755859375,1
2016-01-20,1107.0999755859375,1107.0999755859375,1109.800048828125,1099.800048828125,1099.800048828125,30,59.546611623354444,4.292753553223065,2.333697669600375,1.9590558836226901,1055.598984688423,1082.7300048828129,1109.8610250772028,1099.0999755859375,0,60.33597473272503,6.334504480183341,1.4130154845908365,4.9214889955925045,1055.5989846884281,1082.7300048828129,1109.8610250771976,14.847340666037315,1099.0999755859375,0
2016-01-21,1099.0999755859375,1099.0999755859375,1103.5999755859375,1094.0999755859375,1103.5999755859375,16,55.98466458785455,4.7971832694338445,2.2705019086489235,2.526681360784921,1055.496424314118,1083.5900024414063,1111.6835805686947,1097.199951171875,0,56.59348781437262,6.688640600193821,1.4137212836810535,5.274919316512768,1055.496424314123,1083.5900024414063,1111.6835805686896,14.715387761320365,1097.199951171875,0
2016-01-22,1097.199951171875,1097.199951171875,1103.199951171875,1097.199951171875,1098.0,4,55.14102085724905,4.986154082215762,1.9675781771446728,3.0185759050710894,1056.3075772923983,1084.7099975585938,1113.1124178247894,1106.199951171875,1,55.70965864047673,6.738304950644988,1.1707085073057755,5.567596443339212,1056.3075772924033,1084.7099975585938,1113.1124178247844,14.092860064083197,1106.199951171875,1
2016-01-25,1106.199951171875,1106.199951171875,1109.300048828125,1099.300048828125,1099.300048828125,8,58.34318832599636,5.795334587019852,2.2214069455590097,3.573927641460842,1057.5617054671743,1086.5499938964845,1115.5382823257946,1121.699951171875,1,58.97771635385385,7.418374684466926,1.4806225929021704,5.9377520915647555,1057.5617054671789,1086.5499938964845,1115.53828232579,13.950519892095112,1121.699951171875,1
2016-01-26,1121.699951171875,1121.699951171875,1121.699951171875,1114.300048828125,1115.0999755859375,181,63.213502396266094,7.599731454464518,3.2206430504029404,4.379088404061577,1056.1992269545935,1088.7749938964844,1121.3507608383752,1116.0999755859375,0,63.91593203486849,9.10312020601441,2.532294491559723,6.570825714454687,1056.1992269545976,1088.7749938964844,1121.3507608383711,14.061197042659748,1116.0999755859375,0
2016-01-27,1116.0999755859375,1116.0999755859375,1117.800048828125,1115.800048828125,1117.800048828125,168706,60.46307436071195,8.480104378462102,3.280812779520419,5.199291598941683,1057.496499688354,1091.0549926757815,1124.6134856632088,1115.5999755859375,0,61.056239182725946,9.872616562695839,2.6414326785929223,7.231183884102917,1057.4964996883582,1091.0549926757815,1124.6134856632048,13.478247421309051,1115.5999755859375,0
2016-01-28,1115.5999755859375,1115.5999755859375,1125.699951171875,1109.800048828125,1125.4000244140625,52861,60.21116978770204,9.033329838819327,3.0672305919021152,5.966099246917212,1058.3327825073336,1092.9599914550781,1127.5872004028226,1116.4000244140625,1,60.794695337736876,10.323103832885636,2.473535959026174,7.849567873859462,1058.3327825073375,1092.9599914550781,1127.5872004028188,13.651222772911977,1116.4000244140625,1
2016-01-29,1116.4000244140625,1116.4000244140625,1118.5999755859375,1108.800048828125,1114.4000244140625,6955,60.4947862361166,9.427646218963218,2.7692375776368046,6.658408641326414,1063.309216530248,1095.7749938964841,1128.2407712627203,1127.9000244140625,1,61.08196944336555,10.62222904986038,2.2181289408007334,8.404100109059646,1063.309216530252,1095.7749938964841,1128.2407712627164,13.376130200404871,1127.9000244140625,1
2016-02-01,1127.9000244140625,1127.9000244140625,1130.0,1115.300048828125,1116.699951171875,1682,64.42064233573382,10.54652490746389,3.1104930129099806,7.43603189455391,1068.1993883089067,1099.1549926757812,1130.1105970426556,1127.300048828125,0,65.04663592423383,11.652914287662725,2.5990513428824613,9.053862944780263,1068.1993883089108,1099.1549926757812,1130.1105970426515,13.470688841224167,1127.300048828125,0
2016-02-02,1127.300048828125,1127.300048828125,1131.4000244140625,1123.0,1128.300048828125,1230,64.06295189945384,11.255089646214856,3.0552462013287567,8.199843444886099,1070.5477851456012,1101.7649963378906,1132.98220753018,1141.300048828125,1,64.67644788229255,12.279773167545045,2.5807281782118245,9.69904498933322,1070.547785145605,1101.7649963378906,1132.982207530176,13.108498524998334,1141.300048828125,1
2016-02-03,1141.300048828125,1141.300048828125,1146.0,1125.0,1128.5,1630,68.4632166965162,12.798778946988932,3.6791484016822658,9.119630545306666,1071.042700451693,1104.9099975585937,1138.7772946654943,1157.5999755859375,1,69.09611682017497,13.747770601441289,3.2389804896864547,10.508790111754834,1071.0427004516964,1104.9099975585937,1138.777294665491,13.672177201784168,1157.5999755859375,1
2016-02-04,1157.5999755859375,1157.5999755859375,1157.5999755859375,1141.0,1142.5,771,72.66050834251307,15.162646158224106,4.834412490333952,10.328233667890155,1067.5699553474133,1108.1949951171873,1148.8200348869614,1157.800048828125,1,73.28687304133018,16.041520348262793,4.426184189206365,11.615336159056428,1067.569955347416,1108.1949951171873,1148.8200348869586,13.88130565779512,1157.800048828125,1
2016-02-05,1157.800048828125,1157.800048828125,1174.800048828125,1146.0,1155.5999755859375,877,72.70852222726509,16.857845443802717,5.22368942073005,11.634156023072666,1064.4187406046271,1110.6999999999998,1156.9812593953725,1197.9000244140625,1,73.3346715473728,17.671768638189178,4.8451459833062,12.826622654882978,1064.4187406046294,1110.6999999999998,1156.9812593953702,14.946930169961542,1197.9000244140625,1
2016-02-08,1197.9000244140625,1197.9000244140625,1200.4000244140625,1165.0,1173.5,931,80.21018987714163,21.192739284729214,7.646866609325238,13.545872675403976,1055.6861922963737,1115.7049987792968,1175.72380526222,1198.699951171875,1,80.76393318370187,21.946499468910588,7.295901451222086,14.650598017688502,1055.6861922963753,1115.7049987792968,1175.7238052622183,16.92214769967411,1198.699951171875,1
2016-02-09,1198.699951171875,1198.699951171875,1199.199951171875,1186.699951171875,1188.699951171875,700,80.32636314803763,24.41132275576797,8.692360064291194,15.718962691476776,1051.0668629634022,1120.8149963378908,1190.5631297123794,1194.699951171875,0,80.87838274599417,25.109356818744118,8.367007040844491,16.742349777899626,1051.0668629634038,1120.8149963378908,1190.5631297123778,16.606280006840244,1194.699951171875,0
2016-02-10,1194.699951171875,1194.699951171875,1197.699951171875,1182.0999755859375,1189.800048828125,671,77.86485916572202,26.335724931017467,8.493409791632551,17.842315139384915,1051.252020219325,1126.2699951171874,1201.2879700150497,1247.9000244140625,1,78.36748952568556,26.98214412338598,8.19183547638908,18.7903086469969,1051.2520202193264,1126.2699951171874,1201.2879700150484,16.605829691061476,1247.9000244140625,1
2016-02-11,1247.9000244140625,1247.9000244140625,1260.800048828125,1204.5999755859375,1205.5999755859375,995,84.61677211415575,31.787205698113667,11.155912446982999,20.631293251130668,1043.985363638394,1134.2899963378907,1224.5946290373874,1239.0999755859375,0,85.02593048061591,32.38581928881081,10.876408513451128,21.50941077535968,1043.985363638395,1134.2899963378907,1224.5946290373863,20.1411345457178,1239.0999755859375,0
2016-02-12,1239.0999755859375,1239.0999755859375,1247.800048828125,1233.5,1247.800048828125,250,80.25584572942351,34.994063307719216,11.490216045270838,23.503847262448378,1045.531782246503,1142.5499938964842,1239.5682055464654,1207.9000244140625,0,80.60624026379097,35.54840055989075,11.231191827624858,24.317208732265893,1045.5317822465038,1142.5499938964842,1239.5682055464647,19.731055250599564,1207.9000244140625,0
2016-02-16,1207.9000244140625,1207.9000244140625,1233.5999755859375,1193.5999755859375,1233.0999755859375,422,67.05994575405997,34.61888084788484,8.892026868349166,25.726853979535672,1050.2866686318919,1148.3699951171873,1246.4533216024827,1211.0999755859375,1,67.25764387465952,35.13221142739803,8.65200215610571,26.480209271292324,1050.2866686318926,1148.3699951171873,1246.453321602482,21.571694161271026,1211.0999755859375,1
2016-02-17,1211.0999755859375,1211.0999755859375,1212.9000244140625,1196.5,1196.5,53,67.6474951322552,34.18568407570956,6.767064076939107,27.418619998770453,1056.5810742180713,1154.4299926757812,1252.2789111334912,1226.0999755859375,1,67.84578156984995,34.661036999099906,6.544662182246064,28.116374816853842,1056.581074218072,1154.4299926757812,1252.2789111334905,21.202289179327558,1226.0999755859375,1
