t_exit,equity
2017-01-06,1.0039098815010095
2017-01-09,1.0121197035918656
2017-01-10,1.0120341587079706
2017-01-11,1.0189372761628501
2017-01-12,1.0242340699920085
2017-01-13,1.0245766255008022
2017-01-17,1.0301010950700724
2017-01-18,1.0320532680426038
2017-01-19,1.0317093725791886
2017-01-20,1.032996007095355
2017-01-23,1.0355529279049969
2017-01-24,1.0429436251229343
2017-01-25,1.0470216485115333
2017-01-26,1.0559235157494888
2017-01-27,1.0557457792901528
2017-01-30,1.0570746529444464
2017-01-31,1.0691943875117522
2017-02-01,1.0747525826700846
2017-02-02,1.0809717017759441
2017-02-03,1.084174822738395
2017-02-06,1.0913618179258942
2017-02-07,1.0913618179258942
2017-02-08,1.0962335735606086
2017-02-09,1.100036912111912
2017-02-10,1.0939434738063838
2017-02-13,1.0993664957345548
2017-02-14,1.1011600620512862
2017-02-15,1.1067309625956656
2017-02-16,1.111661720225699
2017-02-17,1.1144392847684121
2017-02-21,1.11425918824196
2017-02-22,1.1179550344990825
2017-02-23,1.130707351466924
2017-02-24,1.1369488781311492
2017-02-27,1.1393955549168697
2017-02-28,1.140304453749916
2017-03-01,1.1392992389634296
2017-03-02,1.153275502268278
2017-03-03,1.1590806919128662
2017-03-06,1.169121258054376
2017-03-07,1.1779066870947439
2017-03-08,1.18150196625893
2017-03-09,1.1835618461127124
2017-03-10,1.1791093895628777
2017-03-13,1.1753948069885418
2017-03-14,1.1765671255029486
2017-03-15,1.1601153036244367
2017-03-16,1.1641969209138638
2017-03-17,1.1667585841991195
2017-03-20,1.170839749298631
2017-03-21,1.1896472227429449
2017-03-22,1.1909818930878258
2017-03-23,1.1905041243660033
2017-03-24,1.1906948637047765
2017-03-27,1.1903155779931498
2017-03-28,1.1908842222104237
2017-03-29,1.1897429122396954
2017-03-30,1.1974333509360793
2017-03-31,1.2024464265740271
2017-04-03,1.2056272938452888
2017-04-04,1.2074553373671115
2017-04-05,1.2170734297192338
2017-04-06,1.2114537044677
2017-04-07,1.216107595571708
2017-04-10,1.217660834606297
2017-04-11,1.2338703814232197
2017-04-12,1.2341607511189092
2017-04-13,1.2347368549792248
2017-04-17,1.232442847791672
2017-04-18,1.2399301628186752
2017-04-19,1.2462838187215253
2017-04-20,1.248426442607093
2017-04-21,1.2558401089007774
2017-04-24,1.255052082698865
2017-04-25,1.2648909985558707
